ac,track,tier,species,fold,f1,prauc,recall,precision
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,33,0.27907,0.26039,0.23529,0.34286
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,34,0.30108,0.26685,0.28,0.32558
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,35,0.30108,0.29484,0.25,0.37838
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,36,0.25,0.35322,0.1831,0.39394
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,37,0.36,0.32001,0.31034,0.42857
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,38,0.30928,0.33019,0.25,0.40541
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,39,0.2,0.20403,0.17021,0.24242
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,40,0.29268,0.31898,0.22642,0.41379
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,41,0.26263,0.2836,0.23636,0.29545
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,42,0.2381,0.31402,0.17241,0.38462
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,43,0.33333,0.29474,0.30612,0.36585
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,44,0.26415,0.36798,0.17949,0.5
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,45,0.45045,0.4989,0.35714,0.60976
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,46,0.30189,0.29555,0.2623,0.35556
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,47,0.22222,0.2861,0.16949,0.32258
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,48,0.31707,0.32723,0.23214,0.5
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,49,0.26667,0.27337,0.2069,0.375
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,0,0.46939,0.48141,0.40351,0.56098
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,1,0.42105,0.49592,0.31746,0.625
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,2,0.21739,0.28265,0.16393,0.32258
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,3,0.42857,0.44925,0.35,0.55263
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,4,0.40964,0.40887,0.2931,0.68
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,5,0.36782,0.4433,0.2807,0.53333
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,6,0.40741,0.43157,0.38596,0.43137
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,7,0.33333,0.39378,0.26316,0.45455
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,8,0.38356,0.51074,0.28,0.6087
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,9,0.37778,0.45783,0.30909,0.48571
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,10,0.39252,0.47332,0.29167,0.6
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,11,0.30769,0.41492,0.22951,0.46667
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,12,0.37333,0.48233,0.28571,0.53846
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,13,0.41758,0.44988,0.35849,0.5
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,14,0.50633,0.51116,0.44444,0.58824
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,15,0.31373,0.44097,0.23529,0.47059
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,16,0.37037,0.44338,0.29412,0.5
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,17,0.43182,0.47546,0.35849,0.54286
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,18,0.4,0.44219,0.32727,0.51429
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,19,0.36735,0.42699,0.27692,0.54545
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,20,0.48352,0.51694,0.40741,0.59459
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,21,0.29885,0.36812,0.25,0.37143
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,22,0.4,0.46316,0.36957,0.4359
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,23,0.41975,0.38462,0.34,0.54839
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,24,0.48649,0.46568,0.40909,0.6
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,25,0.3956,0.42651,0.32143,0.51429
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,26,0.3617,0.49208,0.25373,0.62963
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,27,0.31683,0.37602,0.25806,0.41026
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,28,0.4,0.44495,0.31148,0.55882
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,29,0.40777,0.42146,0.33871,0.5122
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,30,0.5,0.59429,0.37143,0.76471
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,31,0.38462,0.45254,0.28846,0.57692
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,32,0.42857,0.45173,0.33871,0.58333
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,33,0.46512,0.5093,0.39216,0.57143
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,34,0.33333,0.38881,0.28,0.41176
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,35,0.40426,0.34798,0.33929,0.5
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,36,0.38889,0.47833,0.29577,0.56757
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,37,0.43137,0.42928,0.37931,0.5
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,38,0.40426,0.50093,0.31667,0.55882
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,39,0.36364,0.36351,0.34043,0.39024
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,40,0.44444,0.52279,0.33962,0.64286
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,41,0.41304,0.47775,0.34545,0.51351
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,42,0.43182,0.4907,0.32759,0.63333
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,43,0.41758,0.46491,0.38776,0.45238
