blocking,ac,track,tier,species,fold,n_positive,f1,prauc
clustering,C2RCC,C2RCC_only,closure,Alexandrium_catenella,8,66,0.62069,0.70797
clustering,C2RCC,C2RCC_only,closure,Alexandrium_catenella,9,66,0.28829,0.31313
clustering,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,0,58,0.72917,0.82787
clustering,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,1,637,0.00935,0.47465
clustering,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,2,56,0.45783,0.63655
clustering,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,3,57,0.75728,0.81882
clustering,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,4,85,0.50769,0.44611
clustering,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,5,153,0.18072,0.21246
clustering,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,6,65,0.56311,0.63292
clustering,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,7,67,0.54867,0.60969
clustering,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,8,66,0.69492,0.76531
clustering,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,9,66,0.45098,0.49038
clustering,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,0,29,0.0458,0.02599
clustering,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,1,836,0.59419,0.65346
clustering,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,2,23,0.02878,0.05791
clustering,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,3,32,0.04918,0.02758
clustering,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,4,444,0.51263,0.5981
clustering,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,5,501,0.68415,0.88112
clustering,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,6,57,0.27338,0.24326
clustering,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,7,57,0.2093,0.22287
clustering,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,8,58,0.20225,0.24271
clustering,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,9,58,0.39024,0.29056
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,0,29,0.12346,0.10641
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,1,836,0.33908,0.68079
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,2,23,0.26667,0.2798
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,3,32,0.30435,0.17934
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,4,444,0.27197,0.55414
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,5,501,0.50072,0.87866
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,6,57,0.33094,0.2058
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,7,57,0.2963,0.32532
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,8,58,0.45977,0.4523
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,9,58,0.42,0.42311
clustering,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,0,6,0.0,0.03134
clustering,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,1,205,0.0,0.12292
clustering,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,2,5,0.0,0.00437
clustering,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,3,5,0.0,0.00552
clustering,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,4,6,0.0,0.00906
clustering,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,5,7,0.0,0.00793
clustering,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,6,4,0.0,0.01372
clustering,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,7,6,0.0,0.02224
clustering,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,8,7,0.0,0.01159
clustering,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,9,4,0.0,0.01698
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,0,6,0.0,0.0357
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,1,205,0.0,0.14821
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,2,5,0.0,0.00502
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,3,5,0.0,0.01515
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,4,6,0.0,0.00653
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,5,7,0.0,0.00787
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,6,4,0.0,0.01694
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,7,6,0.0,0.02243
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,8,7,0.0,0.01809
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,9,4,0.0,0.08049
clustering,C2RCC,C2RCC_only,closure,Karenia,0,27,0.3125,0.47538
clustering,C2RCC,C2RCC_only,closure,Karenia,1,21,0.07407,0.1105
clustering,C2RCC,C2RCC_only,closure,Karenia,2,26,0.47059,0.52836
clustering,C2RCC,C2RCC_only,closure,Karenia,3,827,0.0,0.66965
clustering,C2RCC,C2RCC_only,closure,Karenia,4,52,0.68627,0.60696
clustering,C2RCC,C2RCC_only,closure,Karenia,5,51,0.5618,0.573
clustering,C2RCC,C2RCC_only,closure,Karenia,6,47,0.5,0.70402
clustering,C2RCC,C2RCC_only,closure,Karenia,7,53,0.48276,0.5884
clustering,C2RCC,C2RCC_only,closure,Karenia,8,48,0.66667,0.74629
clustering,C2RCC,C2RCC_only,closure,Karenia,9,60,0.63158,0.75442
clustering,C2RCC,C2RCC_roms,closure,Karenia,0,27,0.07746,0.15989
clustering,C2RCC,C2RCC_roms,closure,Karenia,1,21,0.09091,0.2185
clustering,C2RCC,C2RCC_roms,closure,Karenia,2,26,0.24242,0.59077
clustering,C2RCC,C2RCC_roms,closure,Karenia,3,827,0.00241,0.6166
clustering,C2RCC,C2RCC_roms,closure,Karenia,4,52,0.73585,0.72462
clustering,C2RCC,C2RCC_roms,closure,Karenia,5,51,0.70968,0.8004
clustering,C2RCC,C2RCC_roms,closure,Karenia,6,47,0.63158,0.84586
clustering,C2RCC,C2RCC_roms,closure,Karenia,7,53,0.60215,0.68993
clustering,C2RCC,C2RCC_roms,closure,Karenia,8,48,0.72093,0.77028
clustering,C2RCC,C2RCC_roms,closure,Karenia,9,60,0.74286,0.85022
clustering,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,0,20,0.0,0.48354
clustering,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,1,133,0.0,0.08506
clustering,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,2,22,0.54545,0.80545
clustering,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,3,22,0.0,0.13691
clustering,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,4,26,0.05882,0.10841
clustering,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,5,58,0.02857,0.10421
clustering,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,6,27,0.19355,0.29208
clustering,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,7,28,0.17143,0.32428
clustering,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,8,21,0.0,0.3445
clustering,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,9,24,0.35294,0.57009
clustering,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,0,20,0.08696,0.5526
clustering,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,1,133,0.0,0.08878
clustering,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,2,22,0.53333,0.82043
clustering,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,3,22,0.0,0.21862
clustering,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,4,26,0.06897,0.29606
clustering,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,5,58,0.15625,0.20102
clustering,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,6,27,0.2,0.4977
clustering,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,7,28,0.37209,0.52619
clustering,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,8,21,0.51429,0.56203
clustering,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,9,24,0.5,0.77547
clustering,ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,0,76,0.49612,0.4627
clustering,ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,1,73,0.49091,0.62744
clustering,ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,2,84,0.53901,0.41818
