ac,track,species,fold,r2,rmse,mae
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,7,0.29117,209.9465,131.246
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,8,0.37515,175.76921,117.09271
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,9,0.41093,173.7854,117.47898
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,10,0.30423,148.7099,104.80096
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,11,0.37281,178.10304,122.80964
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,12,0.39357,180.26236,121.66653
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,13,0.39557,227.5653,135.49227
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,14,0.31237,200.41325,128.50062
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,15,0.32573,218.71521,132.54018
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,16,0.4293,172.33765,115.59668
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,17,0.39109,190.24848,124.93536
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,18,0.39033,181.41414,118.17774
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,19,0.42561,189.90643,124.54686
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,20,0.42428,177.96068,121.9762
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,21,0.33026,200.69709,129.38122
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,22,0.271,198.42372,130.07159
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,23,0.37644,217.6668,129.96456
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,24,0.37938,232.70038,134.41624
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,25,0.29464,170.23724,112.72153
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,26,0.29134,165.11264,114.01638
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,27,0.38022,182.40056,121.94169
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,28,0.38605,144.32166,102.66093
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,29,0.38731,245.42457,145.79973
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,30,0.32561,197.43951,127.46916
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,31,0.40093,230.11696,142.22439
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,32,0.38952,200.46689,124.82814
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,33,0.36394,178.08502,121.3418
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,34,0.43447,162.70615,113.09279
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,35,0.34608,218.50792,137.4163
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,36,0.3549,188.11903,119.59918
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,37,0.38143,210.84478,122.99036
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,38,0.36863,189.36279,117.78946
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,39,0.42498,196.34441,122.50639
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,40,0.33323,157.82507,110.43639
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,41,0.36673,213.98404,130.32966
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,42,0.30368,167.38754,112.07241
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,43,0.32107,169.6843,117.03074
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,44,0.31083,201.86908,122.73091
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,45,0.40118,176.42129,115.96765
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,46,0.32495,181.6534,123.24155
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,47,0.38791,167.5792,110.45571
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,48,0.44574,179.18111,115.6918
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,49,0.30375,197.03115,132.64237
ACOLITE,ACOLITE_only,Karenia,0,0.51927,5076.74107,2277.37455
ACOLITE,ACOLITE_only,Karenia,1,0.47549,3991.54925,2226.70379
ACOLITE,ACOLITE_only,Karenia,2,0.48821,5008.42595,2198.17053
ACOLITE,ACOLITE_only,Karenia,3,0.51932,3594.71827,2151.16713
ACOLITE,ACOLITE_only,Karenia,4,0.5029,4176.72014,2226.94912
